Ticket,OpenTime,Type,Open Price,Profit,Close,EMA10,EMA20,EMA50,EMA200,RSI14,BB_upper,BB_mid,BB_lower,BB_pctB,StochRSI_K,StochRSI_D,StochRSI_K_prev,StochRSI_D_prev,BarRangePips,H1_BB,H2_RSI_70_30,H2_RSI_65_35,H2_RSI_60_40,H3_StochRSI_cross,H3_StochRSI_zone,H4_BB_AND_RSI
171411777,2026-02-03 02:15:00,sell,0.95122,-28.29000,0.95124,0.95078,0.95059,0.95008,0.94911,61.00457,0.95130,0.95037,0.94944,0.96810,91.81589,92.30207,92.54516,95.03010,4.30000,False,False,False,True,True,True,False
171498233,2026-02-03 12:45:00,buy,0.95837,-3.48000,0.95814,0.95916,0.95890,0.95662,0.95191,48.42009,0.96225,0.95947,0.95669,0.26145,2.09677,3.01449,2.09677,3.37700,8.70000,False,False,False,False,False,True,False
171544722,2026-02-03 18:45:00,sell,0.95808,3.85000,0.95804,0.95712,0.95724,0.95695,0.95304,56.33651,0.95858,0.95708,0.95557,0.82098,100.00000,95.72109,100.00000,87.16327,10.50000,False,False,False,False,False,True,False
171554666,2026-02-03 19:45:00,buy,0.95663,4.15000,0.95632,0.95699,0.95714,0.95695,0.95320,42.80848,0.95852,0.95699,0.95546,0.28094,61.36374,72.80771,73.84208,84.41035,12.00000,False,False,False,False,False,False,False
171579639,2026-02-03 23:30:00,sell,0.95809,1.24000,0.95780,0.95689,0.95680,0.95680,0.95367,60.07701,0.95794,0.95671,0.95548,0.94438,100.00000,95.67768,100.00000,84.54673,5.00000,False,False,False,True,False,True,False
171587655,2026-02-04 02:00:00,sell,0.95778,-3.55000,0.95780,0.95717,0.95704,0.95692,0.95400,58.39772,0.95795,0.95692,0.95589,0.92606,56.00786,46.99440,43.91085,41.94487,8.40000,False,False,False,False,False,False,False
171687012,2026-02-04 17:00:00,buy,0.95852,-10.64000,0.95793,0.95902,0.95903,0.95866,0.95609,38.82631,0.96014,0.95909,0.95804,-0.05270,12.53838,27.13532,21.55321,40.45980,12.60000,True,False,False,True,False,True,False
171730371,2026-02-04 22:00:00,sell,0.95638,7.75000,0.95635,0.95529,0.95582,0.95693,0.95601,51.25598,0.95841,0.95571,0.95302,0.61808,94.71354,83.77422,85.31926,71.88993,11.60000,False,False,False,False,False,True,False
171818915,2026-02-05 08:45:00,sell,0.95428,4.80000,0.95420,0.95385,0.95408,0.95497,0.95562,48.76905,0.95516,0.95379,0.95241,0.65034,99.43057,99.43057,99.43057,97.01770,6.50000,False,False,False,False,False,True,False
171905125,2026-02-05 16:00:00,buy,0.95254,-4.67000,0.95242,0.95359,0.95399,0.95449,0.95532,33.25431,0.95568,0.95420,0.95272,-0.10087,7.61285,17.88057,20.12849,21.43880,8.00000,True,False,True,True,False,True,False
171946407,2026-02-05 18:45:00,sell,0.95305,3.58000,0.95295,0.95201,0.95247,0.95349,0.95494,51.16698,0.95531,0.95258,0.94986,0.56710,89.76803,73.36155,80.71781,52.27136,7.50000,False,False,False,False,False,True,False
171977492,2026-02-05 22:45:00,buy,0.95141,-4.26000,0.95109,0.95203,0.95227,0.95295,0.95456,38.69817,0.95367,0.95236,0.95106,0.01328,13.67341,22.31554,20.08546,33.61414,7.80000,False,False,False,True,False,True,False
172032161,2026-02-06 04:15:00,sell,0.95068,-42.79000,0.95073,0.94931,0.94944,0.95067,0.95348,57.85163,0.95065,0.94897,0.94730,1.02506,100.00000,98.77338,98.95492,97.89511,11.40000,True,False,False,False,False,True,False
173046019,2026-02-16 01:30:00,sell,0.96303,-5.14000,0.96304,0.96233,0.96245,0.96252,0.96344,53.90033,0.96445,0.96275,0.96105,0.58506,66.18552,42.40554,40.13810,22.10284,4.60000,False,False,False,False,False,False,False
173091744,2026-02-16 13:45:00,sell,0.96482,5.03000,0.96480,0.96467,0.96465,0.96428,0.96383,53.55932,0.96526,0.96467,0.96408,0.60920,22.75728,24.42473,23.94173,25.05423,3.80000,False,False,False,False,False,False,False
173108675,2026-02-16 19:15:00,sell,0.96432,4.43000,0.96439,0.96423,0.96438,0.96439,0.96397,49.41007,0.96564,0.96454,0.96343,0.43361,63.54168,57.97037,58.62063,47.29352,3.90000,False,False,False,False,False,False,False
173127602,2026-02-17 05:15:00,buy,0.96198,4.47000,0.96174,0.96302,0.96347,0.96393,0.96398,28.26643,0.96524,0.96370,0.96217,-0.13964,5.27265,3.51510,5.27265,1.75755,12.90000,True,True,True,True,False,True,True
173135820,2026-02-17 07:00:00,sell,0.96380,4.36000,0.96387,0.96299,0.96317,0.96366,0.96390,55.65712,0.96479,0.96321,0.96163,0.70867,89.13767,75.19372,75.95469,61.30983,7.80000,False,False,False,False,False,True,False
173212147,2026-02-17 17:15:00,buy,0.96213,3.21000,0.96200,0.96293,0.96323,0.96354,0.96381,33.93461,0.96476,0.96337,0.96198,0.00679,47.37930,70.15412,76.24538,77.76744,17.00000,False,False,True,True,False,False,False
173234523,2026-02-17 20:30:00,sell,0.96541,3.18000,0.96549,0.96436,0.96401,0.96381,0.96385,65.65331,0.96542,0.96370,0.96198,1.02057,88.44136,82.25072,77.06710,82.14646,11.70000,True,False,True,True,False,True,False
173303554,2026-02-18 17:15:00,sell,0.96616,3.73000,0.96626,0.96516,0.96522,0.96529,0.96475,60.92604,0.96638,0.96519,0.96400,0.95070,98.36639,77.44518,76.42178,54.54653,16.20000,False,False,False,True,False,True,False
173315740,2026-02-18 21:30:00,buy,0.96469,6.17000,0.96460,0.96545,0.96561,0.96556,0.96493,34.39087,0.96700,0.96588,0.96475,-0.06639,0.00000,0.00000,0.00000,4.24818,7.00000,True,False,True,True,False,True,False
173326729,2026-02-19 03:30:00,sell,0.96645,3.36000,0.96645,0.96519,0.96491,0.96496,0.96483,69.96673,0.96593,0.96457,0.96320,1.19176,100.00000,92.88693,89.33040,83.90748,6.50000,True,False,True,True,False,True,False
173346989,2026-02-19 08:45:00,sell,0.96652,4.17000,0.96647,0.96628,0.96626,0.96589,0.96518,54.20089,0.96806,0.96669,0.96533,0.41803,32.77046,29.99755,29.92882,27.32844,3.60000,False,False,False,False,False,False,False
173367167,2026-02-19 12:45:00,buy,0.96495,3.50000,0.96472,0.96583,0.96622,0.96616,0.96539,32.89574,0.96846,0.96656,0.96466,0.01556,1.38762,0.92508,1.38762,0.46254,6.20000,False,False,True,True,False,True,False
173404343,2026-02-19 23:30:00,sell,0.96622,1.79000,0.96596,0.96576,0.96565,0.96558,0.96536,55.38618,0.96623,0.96571,0.96519,0.73905,68.32884,46.19801,47.21755,27.06416,4.20000,False,False,False,False,False,False,False
173414518,2026-02-20 03:30:00,buy,0.96498,-5.84000,0.96471,0.96539,0.96547,0.96551,0.96537,37.54485,0.96622,0.96551,0.96480,-0.06273,36.56722,52.40982,56.62916,62.96776,9.00000,True,False,False,True,False,False,False
173431455,2026-02-20 08:00:00,sell,0.96385,-5.63000,0.96381,0.96313,0.96332,0.96412,0.96494,53.69110,0.96479,0.96298,0.96117,0.72862,100.00000,99.24898,100.00000,97.90165,5.40000,False,False,False,False,False,True,False
173455329,2026-02-20 13:30:00,buy,0.96515,4.67000,0.96506,0.96556,0.96528,0.96485,0.96500,49.54639,0.96688,0.96536,0.96384,0.40092,0.00000,9.50592,6.67207,24.27391,5.10000,False,False,False,False,False,True,False
173470591,2026-02-20 17:00:00,sell,0.96707,-5.49000,0.96703,0.96544,0.96519,0.96492,0.96500,66.08041,0.96674,0.96515,0.96356,1.09255,90.04711,72.41139,68.85032,56.22992,10.50000,True,False,True,True,False,True,False
173515024,2026-02-23 03:30:00,buy,0.96714,3.36000,0.96686,0.96846,0.96861,0.96799,0.96626,38.22645,0.97034,0.96876,0.96717,-0.09923,4.68919,13.97839,12.70054,25.93504,10.90000,True,False,False,True,False,True,False
173550999,2026-02-23 11:15:00,sell,0.96837,4.45000,0.96833,0.96771,0.96751,0.96745,0.96648,60.08466,0.96846,0.96727,0.96608,0.94694,70.79274,64.61184,57.43661,63.17355,10.40000,False,False,False,True,False,False,False
173565468,2026-02-23 14:30:00,buy,0.96680,3.61000,0.96657,0.96744,0.96756,0.96755,0.96664,35.08761,0.96867,0.96776,0.96685,-0.15625,0.00000,3.81143,5.71715,5.71715,6.40000,True,False,False,True,False,True,False
173585259,2026-02-23 18:00:00,buy,0.96646,3.68000,0.96636,0.96715,0.96730,0.96742,0.96672,38.16497,0.96813,0.96731,0.96648,-0.07525,35.89842,58.30493,59.36060,75.32784,9.60000,True,False,False,True,False,False,False
173624537,2026-02-24 04:15:00,sell,0.96775,3.32000,0.96782,0.96716,0.96692,0.96683,0.96667,62.51212,0.96784,0.96672,0.96560,0.98994,85.82923,78.67459,76.24895,76.18428,7.20000,False,False,False,True,False,True,False
173663024,2026-02-24 13:15:00,buy,0.96659,-1.42000,0.96644,0.96727,0.96752,0.96750,0.96701,34.01308,0.96883,0.96774,0.96665,-0.09756,0.00000,0.90181,0.84241,1.52281,5.80000,True,False,True,True,False,True,False
173687352,2026-02-24 17:30:00,sell,0.96744,-10.67000,0.96741,0.96585,0.96599,0.96657,0.96679,59.65407,0.96736,0.96578,0.96419,1.01490,85.99230,81.13412,85.99230,69.03268,15.50000,True,False,False,False,False,True,False
173765572,2026-02-25 13:15:00,buy,0.96974,3.84000,0.96964,0.97050,0.97093,0.97049,0.96845,31.05277,0.97347,0.97142,0.96938,0.06309,0.00000,2.25258,2.67940,3.61203,5.50000,False,False,True,True,False,True,False
173775219,2026-02-25 15:15:00,sell,0.97080,-1.21000,0.97091,0.97048,0.97063,0.97044,0.96859,53.64465,0.97185,0.97056,0.96927,0.63499,95.64032,85.53572,88.19787,74.12868,5.40000,False,False,False,False,False,True,False
173890455,2026-02-26 17:30:00,buy,0.96952,7.44000,0.96935,0.97208,0.97267,0.97311,0.97168,19.98904,0.97510,0.97299,0.97087,-0.35808,0.00000,2.40329,1.47772,6.14015,21.80000,True,True,True,True,False,True,True
173898680,2026-02-26 19:30:00,buy,0.96945,6.24000,0.96935,0.97052,0.97136,0.97236,0.97158,31.97505,0.97498,0.97183,0.96868,0.10677,50.06926,48.49941,47.38323,47.03073,6.50000,False,False,True,True,False,False,False
173903454,2026-02-26 21:15:00,sell,0.97171,-6.29000,0.97166,0.97062,0.97091,0.97187,0.97150,53.76856,0.97303,0.97070,0.96838,0.70608,100.00000,93.62079,93.78024,85.24988,6.70000,False,False,False,False,False,True,False
173935798,2026-02-27 10:45:00,buy,0.97290,-4.91000,0.97268,0.97352,0.97338,0.97292,0.97196,42.16804,0.97427,0.97357,0.97287,-0.13745,19.13068,26.12858,30.73278,31.07727,12.60000,True,False,False,False,False,True,False
173969697,2026-02-27 18:45:00,buy,0.97066,-19.24000,0.97043,0.97115,0.97133,0.97182,0.97184,38.33807,0.97213,0.97117,0.97020,0.11735,68.14590,82.37775,84.73999,91.80927,11.60000,False,False,False,True,False,False,False
